"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_netlist_reduction_2","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","netlist_reducer_test","",""
"","1","test_render_enum_help__default__strenum","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","argparse_helpers_test","",""
"","26","test_fastcap_parse_capacitance_matrix","Unit Tests","Tue Jan 14 17:33:50 GMT 2025","passed","Tue Jan 14 17:33:50 GMT 2025","Test","fastcap_runner_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","argparse_helpers_test","",""
"","5561","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Tue Jan 14 17:35:45 GMT 2025","failed","Tue Jan 14 17:35:50 GMT 2025","","rcx25_test","",""
"","8658","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Tue Jan 14 17:35:25 GMT 2025","passed","Tue Jan 14 17:35:34 GMT 2025","","rcx25_test","",""
"","5725","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Tue Jan 14 17:35:56 GMT 2025","failed","Tue Jan 14 17:36:02 GMT 2025","","rcx25_test","",""
"","5594","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Tue Jan 14 17:35:50 GMT 2025","failed","Tue Jan 14 17:35:56 GMT 2025","","rcx25_test","",""
"","5969","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 17:36:08 GMT 2025","failed","Tue Jan 14 17:36:14 GMT 2025","","rcx25_test","",""
"","5368","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 17:35:34 GMT 2025","passed","Tue Jan 14 17:35:39 GMT 2025","","rcx25_test","",""
"","1","test_render_enum_help__default__strenum__lowercased","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","argparse_helpers_test","",""
"","5894","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Tue Jan 14 17:36:02 GMT 2025","passed","Tue Jan 14 17:36:08 GMT 2025","","rcx25_test","",""
"","1","test_netlist_reduction_1","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","netlist_reducer_test","",""
"","2","test_fastercap_parse_capacitance_matrix","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","fastercap_runner_test","",""
"","1205","test_fastercap_model_generator","Unit Tests","Tue Jan 14 17:33:50 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","","fastercap_model_generator_test","",""
"","5579","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Tue Jan 14 17:35:39 GMT 2025","passed","Tue Jan 14 17:35:45 GMT 2025","","rcx25_test","",""
"","1","test_write_csv","Unit Tests","Tue Jan 14 17:33:50 GMT 2025","passed","Tue Jan 14 17:33:50 GMT 2025","Test","capacitance_matrix_test","",""
"","1","test_parse_csv","Unit Tests","Tue Jan 14 17:33:50 GMT 2025","passed","Tue Jan 14 17:33:50 GMT 2025","Test","capacitance_matrix_test","",""
"","27","test_netlist_expansion","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","netlist_expander_test","",""
"","1","test_averaged_off_diagonals","Unit Tests","Tue Jan 14 17:33:50 GMT 2025","passed","Tue Jan 14 17:33:50 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Tue Jan 14 17:33:51 GMT 2025","passed","Tue Jan 14 17:33:51 GMT 2025","Test","argparse_helpers_test","",""
