"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_netlist_reduction_1","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","netlist_reducer_test","",""
"","314","test_overlap_plates_100um_x_100um_li1_m1_m2_m3","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:39 GMT 2025","broken","Mon Jan 27 17:53:39 GMT 2025","","rcx25_test","",""
"","3","test_fastercap_parse_capacitance_matrix","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","fastercap_runner_test","",""
"","1","test_write_csv","Unit Tests","Mon Jan 27 17:52:04 GMT 2025","passed","Mon Jan 27 17:52:04 GMT 2025","Test","capacitance_matrix_test","",""
"","285","test_sideoverlap_simple_plates_li1_m1","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:41 GMT 2025","broken","Mon Jan 27 17:53:41 GMT 2025","","rcx25_test","",""
"","26","test_fastcap_parse_capacitance_matrix","Unit Tests","Mon Jan 27 17:52:04 GMT 2025","passed","Mon Jan 27 17:52:04 GMT 2025","Test","fastcap_runner_test","",""
"","286","test_near_body_shield_li1_m1","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:41 GMT 2025","broken","Mon Jan 27 17:53:41 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__default__intenum","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","argparse_helpers_test","",""
"","311","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","Mon Jan 27 17:53:37 GMT 2025","broken","Mon Jan 27 17:53:37 GMT 2025","","fastercap_test","",""
"","280","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:38 GMT 2025","broken","Mon Jan 27 17:53:39 GMT 2025","","rcx25_test","",""
"","1","test_parse_csv","Unit Tests","Mon Jan 27 17:52:04 GMT 2025","passed","Mon Jan 27 17:52:04 GMT 2025","Test","capacitance_matrix_test","",""
"","0","test_render_enum_help__default__strenum__lowercased","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","argparse_helpers_test","",""
"","29","test_netlist_expansion","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","netlist_expander_test","",""
"","274","test_sidewall_100um_x_100um_distance_200nm_li1","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:39 GMT 2025","broken","Mon Jan 27 17:53:40 GMT 2025","","rcx25_test","",""
"","0","test_render_enum_help__nodefault__intenum","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","argparse_helpers_test","",""
"","0","test_render_enum_help__default__strenum","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","argparse_helpers_test","",""
"","280","test_sidewall_net_uturn_l1_redux","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:40 GMT 2025","broken","Mon Jan 27 17:53:40 GMT 2025","","rcx25_test","",""
"","1","test_averaged_off_diagonals","Unit Tests","Mon Jan 27 17:52:04 GMT 2025","passed","Mon Jan 27 17:52:04 GMT 2025","Test","capacitance_matrix_test","",""
"","1","test_netlist_reduction_2","Unit Tests","Mon Jan 27 17:52:05 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","Test","netlist_reducer_test","",""
"","283","test_single_plate_100um_x_100um_li1_over_substrate","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:38 GMT 2025","broken","Mon Jan 27 17:53:38 GMT 2025","","rcx25_test","",""
"","1200","test_fastercap_model_generator","Unit Tests","Mon Jan 27 17:52:04 GMT 2025","passed","Mon Jan 27 17:52:05 GMT 2025","","fastercap_model_generator_test","",""
"","272","test_sidewall_cap_vpp_04p4x04p6_l1_redux","kpex/2.5D Extraction Tests","Mon Jan 27 17:53:40 GMT 2025","broken","Mon Jan 27 17:53:40 GMT 2025","","rcx25_test","",""
